Abate,"subside , or moderate","            rebate means discount... i.e reducing the price..abate and rebate are rhyming words            ",            (Tag : ) abate which is rhyming with debate.Debate means raising(actually in discussion imagine that in every thing) just opposite to debate consider abate that is reduction in nature            ,Powered by Mnemonic Dictionary            ab ate mat karo abate your weight            
Enervate,weaken,            ENERV(w)asTE whwn you waste you energy you become weak            ,Powered by Mnemonic Dictionary            break it as e + nerve(nerv) + ate... what happens when our pulse reduces; we WEAKEN.            ,            can also be broken as ener(energy) + vate (wait)   when energy is waiting somewhere else....you have less energy left in yourself            
Engender,cause; produce,            when two gender's male & female end up together .. they produce or give rise to a CHILD..            ,"Powered by Mnemonic Dictionary            When genders get together they cause, produce, and give rise to children.            ",            engender ~ gene ~ make offspring            
Ephemeral,short-lived; fleeting,"            sounds like e-funeral. Electric funeral is SHORT            ","            'fermi' is a very small secientific unit [10 ^(-15)]So think of fremi second with ephemeral (e-phermi-real)            ",Powered by Mnemonic Dictionary            elephant+marela hai..he lived short! :|            
Equanimity,calmness of temperament; composure,"            EQUAL+ENEMY(ity) Seeeing enemy as a friend i.e., with CALMNESS OF TEMPERAMENT.            ",            equal mind            ,"            When meditating, you find equanimity when you find your EQUILIBRIUM.            "
Equivocate,lie; mislead; attempt to conceal the truth,            equi(equal) vocal(sound)... if we make similar sounds then it would be ambiguous(unclear) to distinguish!!            ,"            equi+vocate sounds like advocate... corrupt advocates LIE, to CONCEAL THE TRUTH which MISLEADS the judge..            ",            equivocate = equi + vocate = equal + voice ~ambiguous            
Erudite,learned; scholarly,            taken from rude+ite...in olden days people who were higly educated were basically very rude...as they were having profound knowledge of a subject they use to behave very rudely with less educated or illiterates people.            ,"            e+RUD(RUDE)+IT+e....now just concentrate on RUDE IT....NOW THINK OF rude IT PROFESSIONAL WHO IS BASICALLY CONSIDERED AS A LEARNED man..or scholarly.             ",            R U DEITY? Are you a deity; deities are gods and know it all.             
Esoteric,hard to understand; known only to the chosen few,            HISTORIC things are known to few people            ,"            the world is like Estrogen, which is a female hormone..and we all know that females are HARD TO  UNDERSTAND and KNOWN ONLY TO FEW :) !!            ",            Experts (E) are so (SO) fond of terrible (TER) words.            
Euphemism,mild expression in place of an unpleasant one,"            Assuming: females are milder than males as they are more emotionally inclined.It reads like E(xpress) U(yourself) Phemism(like feminism).            ","            you+feminisn(sounds like) girls try to avoid certain words and circumlocate... so if u practise euphemism, you act like a female            ","               eu- <> dys-(good) <> (bad)-phemi ~ phone ~ sound=> euphemism ~ make good speech instead of bad one            "
Exacerbate,worsen; embitter,"            Latin ex+acerb+ate; Latin acerb- means bitter, harsh; So exacerbate means to make bittter, to worsen.            ",            if in an Exam u keep your hand on your head[ie SAR(in hindi)/CER]...you wil WORSEN your paper...            ,"Powered by Mnemonic Dictionary            ""Ex Her b Ate"".. her ex came and ate with her family. which worsen the relation even more.            "
Exculpate,clear from blame,            exculpate sounds like ex-culprit = culprit...but now he has been cleared of the charges.            ,"            ex(expert)+culpate(culprit) expert culprit are always clear from blame ,,            ",            Honor the culprit by exonerating and exculpating            
Exigency,"urgent situation; pressing needs or demands; state ofrequiring immediate attention","            exigency ~ exit + emergency;you remember the emergency exit, only when at the time of an urgent situation.            ",            Exigency and Emergency rhyme.......            ,Powered by Mnemonic Dictionary            think of urgency/emergency            
Extrapolation,projection; conjecture,            During election time many news channels show extrapole of elections they just try to make predict  who will going to win election based on current known information extrapolation is similar            ,"            hw much EXTRA did PAUL ATE ? u will hav 2 guess that! :D i.e Infer, conjecture            ","            split it like....extra+pol(sounds like pull.)+ate......AND YOU PULL SOMETHING EXTRA ....TO EXPAND OR EXTEND IT SOME MORE SO EVERY ONE CAN know it.......simillarly extending your knowledge in a unknown area.             "
Facetious,joking (often inappropriately); humorous,"Powered by Mnemonic Dictionary            someone who makes funny facesFacetious>>>Face is not Serious            ","            Face-tease, tease by making funny faces            ",            FACE....SO THINK OF someone who never give serious look on his face.            
Fallacious,false; misleading,"            fallacious.split it like fallac+ious...if you just concentrate on fallac..it look like FALSE,......so THINK that SOMETHING is based on a FALSE OR incorrect notion.....             ",            basically this word is taken from... fallacia..means deceitful......so something which is deceitful is always based on misleading and incorrect notion.            ,"            the root fall means to deceive,if u remember this root it will in other words like infallible-not prone to errorfalsify-lie            "
Fatuous,"brainless; inane; foolish, yet smug",            remembles FAT ASS an ass is considered foolish            ,            focus on 'fat' in this word ..for some foolish people fat people are generally foolish            ,            generally fat people in US are foolish!!            
Fawning,"trying to please by behaving obsequiously, flattering, orcringing","            relate it with FAN..imagine of a crazy FAN who ALWAYS TRY TO exhibit his affaction....AND COURT A favour to be with you whole day by flattering with you..             ","            fawn~~fauna~~animalur pet tryin 2 please u 4 u givin it a meal            ","            FAWNING --- > fa+wning.....We normally use scent """" fa""""  to please a woman rite???...to smell goodThus the meaning            "
Felicitous,apt; suitably expressed; well chosen,"            felicitous sounds like felicitation... in felicitation the person is praised with SUITABLE, APT , WELL CHOSEN remarks..            ",            this word is derived from FELIX(root word means lucky..happy)..felix is name given to lucky and famous people.            ,"            yash is a gr8 guy.wenever dat (FEL)la (cit)s with (us), we all hav a HAPPY time            "
Fervor,glowing ardor; intensity of feeling,Powered by Mnemonic Dictionary            Fervor - relate it to exam fever. U become so much ardent and enthusiastic to study for that one night to get good marks.. U have an intense feeling to study.. Hope this helps            ,            RELATE FERVOR TO fever-BODY BECOMES WARM & AND YOU GET warm attention when u have fever            ,            fever sounds like for her... You have intensity of feeling for your girlfriend/wife..            
Flag,droop; grow feeble,"            white flag is used to indicate surrender as in a war, a white flag is used to indicate acceptance of defeat. thus low in vigour, grow feeble            ",            flag rhymes with sag which means to droop or grow feeble            ,            flag sounds lyk slag n slag is a waste material...if u become WEAK then u r considered waste...!!!!            
Fledgling,inexperienced,"            sounds similar to sledging in cricket...normally inexperience young players if unable to get wickets than do sledging..hope this ll help            ",            rhymes with duckling.. a young duck thus referring to inexperience.            ,"Powered by Mnemonic Dictionary            fully fledged = mature or experienced..                           but                                               fledgling means the one who isn't matured , i.e. is a neophyte(newbie = noob )             "
Flout,reject; mock; show contempt for,"            FLOUT... FOUL + OUT. When a player is sent out by foul, the player shows his contempt to the referee.            ","            A kid asked me if he could FLY his paper plane in the room, I replied bluntly-FLY OUT.            ","            Can be associated with word ""Clout"" which means ""great influence"" as ""Person who has clout tends to flout"" == A person who has great influence tends to show contempt for and break the rules. eg. Salman Khan            "
Foment,stir up; instigate,            Foam starts to appear once you profusely foment (stir up) a soapy hot water bucket(2nd meaning ).            ,            Science students can easily remember it as it sounds similar to fermentation.. and stirring is an important part of fermentation process.            ,"            f[oment] => moment. In dynamic kinetics, moment incite wheel to rotate.            "
Forestall,prevent by taking action in advance,            Fore means before. Stall means to stop. Hence Forestall == Before Stop. i.e to stop something before it happens.            ,"            stall is to stop.. fore means before.. i.efore + stall =  taking precautions before itself, to prevent unwanted action..            ",            Go FORward with putting the horse in the STALL to prevent him from getting out and causing trouble.            
Frugality,thrift; economy,"            frugal means avoiding waste... read it as free+girl...if a girl comes for free,it saves waste of money            ","Powered by Mnemonic Dictionary            FEW+GIRL friend...if you have few girl friends,it's ECONOMICAL...when you have many,it's costly.....and frugal means the quality of being economical with money or food...            ",            [fru]gality => fruit. Fruit is cheap (cheaper than meat)            
Futile,useless; hopeless; ineffectual,Powered by Mnemonic Dictionary            futile is not fertile.. hence not fruitful            ,            futile sounds like foot oil ..spending 1000$ on foot oil is  WASTE..and UNPRODUCTIVE bcoz even then hair will not grow on your foot ..haha seems funny but works..            ,            futile is opposite of fruition            
Gainsay,deny,"            she has (Gain)ed  weight but is not (say)ing it which means, she is denying the fact.            ",            A(gain)st-(say)            ,            GAINSAY~ GHANTE SEY...we say ghante sey when we want to deny sumthing..so GAINSAY=GHANTE SEY= DENY            
Garrulous,loquacious; talkative; wordy,            (garrulous can be related to girls when pronounced)and girls talk more than boys            ,"Powered by Mnemonic Dictionary            ""Girls, rule us!"" They rule us in their ability to talk non-stop about nonsensical matter...            ",            sounds like careless... means careless chatter            
Goad,urge on,"            goad tells you to ""GO And Do [it]""            ","Powered by Mnemonic Dictionary            goad…sounds like god…..everyday when we  pray…we always URGE to god ,to give us courage to face all the hurdles and obstacles in life.            ",            GOAd...Just think of GOA...This itself is enough to URGE or STIMULATE you to go there            
Gouge,overcharge,"            In slang language we call goggles as gouge - So when you buy a pair of branded gouge, which are expensive, you think the shopkeeper is overcharging you.            ","            relate it wid """"gao ge""(in hindi as we pronounce singing)->IndianIdol ->Anu Malik-saying agar tum aisa bekar gao ge to main tumhari ankhen bahar nikal dunga (by digging/ scooping action)!Can he use a chisel also in doing so?! ;)            ","Powered by Mnemonic Dictionary            GAUGE meter measures cloth quantity and if something is wrongly measured, u say if it is not acc to guage , i will gouge out this cloth(to make a hole in something in a rough or violent way) and give it back to u            "
Grandiloquent,pompous; bombastic; using high-sounding language,            Grandiloquentâ€¦GRAND+ELOQUENT only an ELOQUENT speaker can deliver a POMPOUS/BOMBASTIC  speech in front a HUGE/GRAND crowdâ€¦â€¦            ,            Split GRANDILOQUENT as  grand and eloquent (expressing yourself readily) which is the grand or mega way of expressing something i.e. pompous            ,            GRANDiloquent sounds like grand open. Grand open need to be grandiloquent.            
Gregarious,sociable,"            remember AGGREGATION means gathering something together...similarily AGGREGATION -> GREGATION ->GREGARIOUS            ",            for gre we attend classes in  groups            ,"            GRE-garious.GRE is needed to be ""SOCIABLE"" in USA.            "
Gullible,easily deceived,Powered by Mnemonic Dictionary            Gullible = Gull + ible = girl/galli + able A girl who is able to be tricked or deceived easily.            ,            gali = street (in hindi).. street people like slum can be easily deceived (although the other way is also true)            ,"            Gullible: Gul(Girl)+Li(Lie)+Ble(Believe) so girls believe the boys those to lie,since they can decept easily,so thet are GulLiBle,credulous,innocent,trusting,.....            "
Harangue,"long, passionate, and vehement speech","Powered by Mnemonic Dictionary            HARANGUE can be split as har + ang + u + e....so when YOU are ANGry with HAR(her), she is subjected to a long or intensive verbal attack.            ",            HAR (her) + ANGUE (anger) = she VERBALLY ATTACKED me because of HER ANGER at me.            ,            split it to HAR + LANGUE . HAR = harrass and LANG = language .. hence harangue is harassing language            
Hyperbole,exaggeration; overstatement,Powered by Mnemonic Dictionary            hyper(beyond the limit)+bole(means speak)..so someone who gives the statement beyond his limit..overstating basically.            ,            hyper-excessive;bole-means speaking on Hindi....So excessive speaking            ,"            hyperbole = hyper means very more than normal, bol means talk i.e effective talking or something.            "
Iconoclastic,attacking cherished traditions,"            icon = idolclash = fragments.So, one who destroys idols into pieces is iconoclast.            ",            ICONOCLASTIC -> ICON(idol) + CLASH. CLASHing/destroying IDOLS/traditions            ,            ICON +BALASTIC - blasting the icons            
Idolatry,worship of idols; excessive admiration,            combination of idol+ adulatory(adulation) gives the meaning            ,            idol+atry::idol ki aarti(à¤®à¤°à¤¾à¤ à¥€)...worship  of idol..            ,Powered by Mnemonic Dictionary            idol..ideal....god ram is a ideal man....and we WORSHIP  and devout to him.            
Immutable,unchangeable,"            mutation implies changes in genes etc.Therefore, it is im(non) + mutable ie cannot change            ",            immutable is something immune to changes            ,            mute control in tv used to CHANGE from high volume to total silence. if ur remote becomes immutable then u cant change the volume. imutable = unchangeble            
Impair,injure; hurt,"            Opposite of Repair.Repair is to mend, Impair is to Injure..            ",Powered by Mnemonic Dictionary            im+pair. If you damage a pair of something..you seperate them...so you injure them...            ,"            impair=i+m+pair.....when my gf said to me that ""i am paired(i m pair) with some on else for the dance competition""...it HURT/INJURED my feelings a lot...................:)            "
Impassive,without feeling; imperturbable; stoical,"            Impassive-> A person saying-""I m Passive(Not Active)"", that means he has no feelings,emotions.            ",            Passive :  inactive hence a person inactive in revealing emotions.zzzz            ,            IMpressively PASSIVE            
Impede,hinder; block,Powered by Mnemonic Dictionary            impede from impedance meaning resistance             ,            Ped (Tree in hindi)on the way.....            ,            relate it with stampede.in a stampede there is great obstruction            
Imperturbable,calm; placid,"            imperturbabble--im + pertur (like tur tur) + babble ( just talking foolishly..). So, the person who never do any tur-tur and never babbles is a very cool, calm and peaceful guy.             ","            im-'not'+perturb(able), meaning not perturbed....so a person who is not perturbed stays calm and placid.            ",            imperturbable- im+perturbable. Perturb has a rhythm with Disturb. Imperturbable is a person whom u can't feel disturbed/upset easily- that's why he is always calm.            
Impervious,impenetrable; incapable of being damaged or distressed,            im(not)+pravesh(enter) so unpenetrable...            ,"Powered by Mnemonic Dictionary            ""i m pervez(pervez musharraf)""...no matter wat u say, i won't be affected!!            ","            A pervert is trying to rape me. But I'm not scared. He won't be able to penetrate me, because I'm impervious - immuned to perverts.            "
Implacable,incapable of being pacified,            Sounds like IMPLEASABLE -- some one who cannot be pleased or appeased -- not pacifiable            ,            IM(Not) + PLAC(Place) + ABLE = You will not a place in her heart.            ,Powered by Mnemonic Dictionary            implacable = im (not) + play + cable; cable is not playingi.e not friendly environment.            
Implode,burst inward,"            ex-'out'+plode-'burst'...so im-'in,inwards'+plode-'burst'...so implode means burst inwards            ","            it sounds like a load.if it is (over)loaded it will collapse.            ",            implode:when the load increases it'll be collapsed...so meaning is collapse            
Incongruity,lack of harmony; absurdity,            IN+CONGRess+no UnITY...take it as fun ppl..;)            ,            Congruent triangles....incongruity is opposite of congruent.. so in-congruent people always clash on their views i.e. not in confirmity            ,            in+ con(bad)+gruity(sounds ike unity..) .. hence bad unity refers to LACK OF HARMONY..            
Inconsequential,insignificant; unimportant,            consequence means result- we are never worried about the result of inconsequential or worthless things.             ,            Not essential            ,Powered by Mnemonic Dictionary            in (no-negative)+consequential(consequences) of a study is INSIGNIFICANT to parents :(.            
Indigence,poverty,"            Indica + Zen (Cars)&#8230;Cars owned by poor people. Antonym:""Opulence"" which means ""Rich"" Mnemonic :Opel Astra(Its a car owned by very rich people)            ",            Indian gents are very poor as compared to other countrymen            ,"            indigence- indigenous or aboriginal people in most of the countries are passing their days in extreme poverty.            "
Indolent,Lazy,            indolent - in + dolent => jo dolta nahi hai(hilta nahi hai)            ,"            In India people are lazy for giving rent {indo = india , dent = rent}            ",            IN(negative) DOlent(DO some actions) --- so not doing any action is being lazy            
Inert,inactive; lacking power to move,"            recollect your  chemistry . INERT gases hardly react, therefore INERT means LACKIN ABILITY TO MOVE OR ACT.            ",            inertia            ,Powered by Mnemonic Dictionary            inert: in + earth : unable to move as they are in earth            
Ingenuous,naive and trusting; young; unsophisticated,            In+genuine- In genuine relationship people are naive and trusting to each other.            ,            naive and young ppl are generally genuine...            ,"Powered by Mnemonic Dictionary            IN (suffix, means NO) + (genuous) (genius) ~ one who is not a genius artist and hence is artless ~ INGENUOUS            "
Inherent,firmly established by nature or habit,            in+ here             ,            in heredity: habit that came as heredity...            ,            In heart.            
Innocuous,Harmless,"            in(not)+nocuous(noxious)........means not noxious......something which is not noxious is harmless...            ",Powered by Mnemonic Dictionary            innocuous ~ innocent            ,"            Although some spiders are POISONOUS, most of them are INNOCUOUS (harmless)            "
Insinuate,hint; imply; creep in,"            The girl has lost her memory. The boy telling her - This is the INStitute IN which U ATE. He is trying to HINT, IMPLY to her.            ",            IN(not)+SIGN....without any signal i.e indirectly hint or imply ....            ,            in (sign) ate            
Insipid,lacking in flavor; dull,"            in+sip+id(it)in-'not, -ve prefix', so when you do not sip it, i.e a juice ,then it means the juice lacks flavor.            ","Powered by Mnemonic Dictionary            in+ sipid(spell it as spit..) ,we spit when the FOOD LACKS FLAVOR : or it is TASTELESS..            ","            if u take a SIP IN, and realize that u were stuPID enough to taste such a flavor , then the drink is insipid            "
Insularity,narrow-mindedness; isolation,"            we insulate electrical wires.. by insulating , we are ISOLATING the wires from the environment...            ",Powered by Mnemonic Dictionary,            insular = In Cellar...so u isolate            
Intractable,unruly; stubborn; unyielding,"Powered by Mnemonic Dictionary            Intractable: things which can not be brought in the right track...opposite of tractable.            ",            tract(TRACK)..SO you have decided to track about your UNRULY CHILD...and you have approached the agency to do this.            ,"            Intractable is IN(Not)+TRACT(STRETCH)+ABLE(Do)...means if something/someone is not stretchable/flexible,implies STUBBORN or UNYIELDING.            "
Inundate,overwhelm; flood; submerge,            I+NUN +DATE....I asked the NUNs for a DATE and i was FLOODED with letters from christian societies for violating the social norms.            ,"Powered by Mnemonic Dictionary            sounds like ""KIRAN DATE""shahrukh ask kkkkkkiran for a date,she replied with flood of ssssslaps...            ",            1 nun ki itni date hoti hai ki hamesha overflow hoti rehti hai            
Irascible,irritable; easily angered,"            concentrate on rasc- a rascal is one who is irritable, choleric, shor-tempered & hotheaded            ","            rascible sounds like ""racist able"". so, making racist remark can easily anger anyone...            ","            IRASCIBLE > Ira + scrible on the black board, for which the 'irascible'(easily angered, irritable) teacher hit her!            "
Irresolute,uncertain how to act; weak,            (IR)not knowing... how to make resolutions.            ,"            ir+resolute--- resolute means firm and determined, irresolute means the opposite, doubtful            ","            think urself as inspectorand suddenly a commisoner cameu will confused whether to saluteu r uncertain about itas he is in formal dress            "
Itinerary,plan of a trip,            the car i10 is rarely used to plan a trip in it...            ,"            Latin word itiner= journey.... itinerary means schedule or plan a detail route.Other words based on same root are...intinerant, intinerate.            ","            it-italy, nerar-near ...I'm near Italy according to my plan of the trip...            "
Laconic,brief and to the point,"            LAC..LACK,  SO LACK OF WORDS in her speech, specify that she used very few words to portray her ideas.            ",Powered by Mnemonic Dictionary            Laconic = Lacking in sonic.            ,            La - conic There is a LAck of words in the COMIC book. (lack-comic)            
Lassitude,languor; weariness,"            After a heavy lunch, if you drink a glass of LASSI, you will go into a lassitude i.e. weariness, lethargy and ultimately go to sleep.            ",            lassitude             ,            we drink LASSI(.. buttermilk in hindi..) when we are tired or WEARED DOWN..            
Latent,potential but undeveloped; dormant; hidden,            regroup the words and spell it as talent.. many people have POTENTIAL(talent..)but undeveloped..where as some people HIDE their talent..            ,"Powered by Mnemonic Dictionary            Latent heat can be seen as heat which is ""HIDDEN"".            ","            when u lay in tent u become hidden to anyone outside.            "
Lethargic,drowsy; dull,"            Sounds like alergic. When you have lack of interest in doing something i.e. alergy            ","            lethargic sounds like leth(LOST)+argic(energy).....so you have LOST ALL YOUR ENERGY,THATS why you are feeling DULL AND DROWSY.            ","            Let(Leg,LAAT) + har(haar) + gic(gayi) >>> legs ya laatein haar jane ke baad we get tired and loose energy to walk and get lazy and wanna go to bed as soon as possible..            "
Levee,stone embankment to prevent flooding,"            levee..(sounds like level..) we LEVEL the land ,with LEVEE so that there is no seep of water(..flooding..)            ","            So bye-bye, miss american pie.Drove my chevy to the levee,But the levee was dry.            ","            it also means a reception.u take LEAVE to participate in a levee            "
Levity,lack of seriousness or steadiness; frivolity,            lev(leave)+it+y(.yaar)..you casually leave things without any seriousness            ,            lev+ity..together sounds like leave+take...so you take a leave whenever you want..thats shows that you are not serious about your furure.            ,Powered by Mnemonic Dictionary            Live and eat.            
Loquacious,talkative,            it is derived from the root word 'loqua'... which refers to SPEECH or TALK            ,            Remember Loqua with mokka.            ,"Powered by Mnemonic Dictionary            loquacious : loq(speech,talk)+voracious.            "
Lucid,easily understood; clear; intelligible,"            when u LOOK(luc) the ID of micorsoft employee...u will "" clearly,tranparently understand,that he is clever n inteligent            ","            lucid has root 'luc', means 'light'Under the light, we easily understand everything            ",            LUCing(looking)In Day is very clear. we can see anybody clearly in day time. so LUCID is sth which is crystal clear             
Magnanimity,Generosity,"Powered by Mnemonic Dictionary            magNANIMAous, NANI MA in hindi, is always ""generous"" to us            ","            ""magnanimity"" = ""magna""(magnet = attract)+""enemity"" =those who attracts his enemy too ,,, are ""generous , kind""            ","            MAGNA super market is so ""generous"" that its raining offers on the customers             "
Malingerer,one who feigns illness to escape duty,            Ma linger= child lingering around her mom to avoid going to school.            ,Powered by Mnemonic Dictionary            Malinga feigned illness to avoid bowling to Tendulkar            ,"            mali+inger(sounds like injure)(p.s MY MALI IS INDER   :)))))),.......my mali got injured yesterday while working... so today he is feigning illness and refused to come            "
Malleable,capable of being shaped by pounding; impressionable,            relate with meltable; so possible to reshape            ,            Many women believe they can mold their MALE (malle) partners into ABLE-bodied husbands.            ,"Powered by Mnemonic Dictionary            malleability is the capability of stretching to a wireDuctility is the capability of pressing to a sheet.Both are properties studied in material science               "
Maverick,rebel; nonconformist,"Powered by Mnemonic Dictionary            Mave+""RICK"" sounds like Ricky Ponting who is rebellious and non-conformist as he does not believe in umpire descisions during India's Cricket match            ","            those who play counter strike will be aware of the bot ""maverick"" who has cooperation as zero. which is what maverick means!!            ",            maverick-MAIN BHI RICKshaw chaloonga even I am engineer/doctor. I want to be maverick.            
Mendacious,lying; habitually dishonest,            mendacious = requiring mending (correction)            ,Powered by Mnemonic Dictionary            A mendicant (beggar) is usually a mendacious person. i.e. given to lying; habitually dishonest.            ,            mendacious= men + audacious. men who are audacious can LIE easily.            
Meticulous,excessively careful; painstaking; scrupulous,Powered by Mnemonic Dictionary            it sounds like matriculation(admission to a college).To  get matriculation we  should be as a meticulous(careful) aspirant to clear the exam.            ,"            Meticulous:Met(Meet)+ICU(hospitals intensive care unit),so whenever u met any person in ICU u need to be very/extremely careful about his health,......etc            ","            Meti means fear..every one knows ""where ever fear is there ,care should be there"" otherwise we fall in risks...            "
Misanthrope,one who hates mankind,"            ""misien""in greek means "" to hate"" and ""anthropos"" means ""mankind""    so misanthrope means one who hates mankind            ",            Ms.Anthrope hates all humans            ,"            Mis-anthrope: miss anthro(pology) -study of human kind. Imagine saving the creatures of the universe, and leaving out humans. How dare you miss humanity ?!             "
Mitigate,appease; moderate,"            Mitigate > ""Gate pe kutte ki potty pe mitti daal do"" why? so that the intensity of bad odour will lessen.            ",            think of MITIGATE as COLGATE(toothpaste).Use of COLGATE lessen or try to lessen the extent of germs in our teeth. Use of MITIGATE will also lessen or try lessen the extent of [depends on your usage :)}]            ,            mitigate -> MIT + i + gate... when you reach the gates of MIT.. your tensions about PG admissions will be appeased/mitigated!!            
Morose,ill-humored; sullen; melancholy,            in hindi it is like MOR(peacock) RO(weep) SA raha hai-means it is in sorrow and hence brooding ill humoured            ,Powered by Mnemonic Dictionary            A guy gave a crushed(MOroda hua(Hindi)) ROSE to girl as a humor she got pissed on this ill humor at the guy and canceled the plan of party(unsociable)            ,            MOROSE..ITS LIKE DIS..nOROSE..SO NO ROSE FOR UR GIRLFRIEND SHE LL BE SAD..            
Mundane,worldly as opposed to spiritual; everyday,"            monday, tuesday, wednesday....everyday            ","Powered by Mnemonic Dictionary            Mundane sounds like Monday. After an exciting weekend, Monday is just another mundane day.            ","            mundane=(monday)sunday is intresting but monday is ""unintresting and dull""            "
Negate,cancel out; nullify; deny,"            ne=no + gate=door, so there is no entrance through that door            ",Powered by Mnemonic Dictionary            NO gate so No existence...wtf!!            ,"            negate sounds similar to negotiate,,,cancel out            "
Neophyte,recent convert; beginner,"            split the word into ""neo = the matrix hero"" and ""phyte = fight"". Thus neo fights in matrix movie as a beginner or new commer to save the revolution.            ","            neo+phyte ~ new + fight;A new member or beginner always has to fight to establish his own identity.            ",Powered by Mnemonic Dictionary            NEW(neo)+FAITH(phyte)....a person who has faith in new religion is a neophyte            
Obsequious,lavishly attentive; servile; sycophantic,            or obse(ssed)-Qui( yes in frech)-ous=always obsessed with saying yes to it all            ,"Powered by Mnemonic Dictionary            ob + SEQUI + ous .. sequi means sequence where one thing ""follows"" the other.. and servants follow what their masters say..             ","            seq = Suck, uio = Your, us = Ass. He sucks your ass, therefore he's obsequious.            "
Obviate,make unnecessary; get rid of,"            obviate - viate sounds like deviate, deviate yourself from studying(happen something)....            ",Powered by Mnemonic Dictionary            ob+viate .. viate can be rhymed with void.. and making void means removing something.. hence getting rid of..            ,"            if it is obvious you can obviate it easily (you can prevent it), obvious and obviate sound similar            "
Occlude,shut; close,"            when you include someone they are welcome and the gates are always open but when you OCCLUDE(rhymes with EXCLUDE), they are unwelcome and hence the gates are SHUT or  CLOSED on them.            ",            Occlude - sounds like conclude. Means close or shut something...            ,            Harry Potter fans may remember occlumency which is the subject that helps to close one's mind.            
Officious,meddlesome; excessively pushy in offering one’s services,"Powered by Mnemonic Dictionary            OFFICIOUS,the first part of the word sounds similar to office. Imagine a government office where people poke their nose in other's affairs, they are INTERFERING.            ","            Offi(in offices)+cious(curious)..in offices ppl vl be curious for promotions  so they vil be pushy in offering services            ",            excessive eagerness to do OFFicial work of OFFering service or advice..            
Onerous,burdensome,            it sounds like on+er+us..that is ONUS.. when something is ON US ..we feel burdensome            ,            Onerous= one+rous. If u assign much work on ONE person it will be ONErous for him            ,            onerous....can be associated wid owners on us...who r trouble some            
Opprobrium,infamy; vilification,"            If you take OPIUM(banned drug) you will be criticized, humiliated & put to shame.            ",Powered by Mnemonic Dictionary            oppROBrium..stress on rob..if u rob something ull be dishonoured            ,"            'opprobrium' sounds similar to 'oppressed i am', thus dishonoured            "
Ostentatious,showy; pretentious; trying to attract attention,"            oSTENTATIOUS....read it as Stuntatious....Stunts...you perform stunts to attract attention, showy.            ",            sounds like Austin(stone cold steve austin) wwe wrestler .. they always pretend and speak crap to grab attention..            ,            Nothing is as ostentatious as OSTRICH feathers in your hat.            
Paragon,model of perfection,            paragon which is a slipper brand makes products which are models for perfection            ,            ARAGON in the movie Lord of the Rings was a perfect soldier            ,"            paragon = para-'related to' + -gon'figure has many angles'. If a polygon has infinity angles, it becomes circle. Circle is perfect            "
Partisan,one-sided; prejudiced; committed to a party,"            parti(think of a political party)+san(son)...so a father who is favouring his son's political party, instead of a good party.            ","            A partisan says, 'my party is my SON, my daughter, my mom & my dad'            ","            just d way civism is being a good citizen, partism (reminds of partisan) is being a good(ardent) supporter of a party/group/person/activity             "
Pathological,pertaining to disease,            This PATH of LOGICAL behaviour of the Harmonâ€™s will lead to new breakthrough of the disease             ,Powered by Mnemonic Dictionary            a PATHOLOGICAL LIAR has a lying addiction/disease.             ,"            pathology link this with the other common words which you have already heard like osteopathy , pathogen and recall that it is related to the disease            "
Paucity,Scarcity,"            pau - paav as in paav bhaji and only one ""paav"" for the whole city...so obviously it will be scarce            ","            take it as somebody saying about a city as pau;in hindi PAU(pao-a small weght)i.e ""ek pau ki to city hai""             ",            paucity=scarcity....these two words rhyme....            
Pedantic,showing off learning; bookish,"            Can u smell the word <b>'PANDIT'</b>( ""Scholar"" in english) from ""Pedantic""? PANDITs are usually very strict about the bookish stuff.            ",            pedantic sounds like VEDANTIC. Any body who follows Vedas is usually a v. conservative and bookish person.            ,            rhymes pendant. pendant is a small thing but when it is lost you are damn worried. so worrried about small things            
Penchant,strong inclination; liking,"            p+enchant- something that enchants you, you have a strong liking for that.            ",            chant- verses are chanted by sages because they have a strong inclination towards spiritualiism.            ,            Some fool is chanting his pen because he likes it so much.            
Penury,severe poverty; stinginess,            pen+ru(pee).........no rupee to buy a pen            ,            pen (penny) + ury (uri means ud gayi in hindi) means penny penny ud gayi matlab poverty            ,"            in telugu ury means hanging urself,so no mny to buy a pen also so ury veskunadu            "
Perennial,something long-lasting,Powered by Mnemonic Dictionary            if you remember we have learnt about perennial rivers in social studies which means LONG LASTING rivers            ,            sounds like PURANI(old)...purani things are perennial            ,"            Per is the prefix of "" through"", Ennial is the root word of year -->perennial means ' through out the year.'            "
Perfidious,treacherous; disloyal,            per+FID+ious.. FID stands for fidelity.. i.e. loyalty.. hence perfidious is its opposite             ,"            perfidious --- perfumerelate to perfume which reminds us of a beautiful lady who could be disloyal to you            ",            perfidious.....imagine  a guy who applies PERFume as well as DIOdrant....so he is disloyal to one of them......            
Perfunctory,"superficial; not thorough; lacking interest, care, orenthusiasm","            PARAI(other's)+FACTORY - if you are told to take care of somebody else's factory, you would casually care about it            ",            per+FUNC+tory .. FUNC stands for function i.e. job.. so if you are doing a job quickly just to finish it and not caring enough about it.. doing job superficially.. it is called a perfunctory act..            ,            Perform+hurry....perform in a hurry....perfunctory....            
